threshold,fmeasure
0.0,0
0.05,14.166666666666668
0.1,26.119402985074625
0.15000000000000002,52.124645892351275
0.2,64.16861826697892
0.25,69.02286902286902
0.30000000000000004,68.28358208955224
0.35000000000000003,68.5512367491166
0.4,68.60068259385666
0.45,69.09090909090908
0.5,68.6084142394822
0.55,67.84
0.6000000000000001,67.19492868462758
0.65,67.08661417322834
0.7000000000000001,66.87598116169545
0.75,67.2926447574335
0.8,67.2926447574335
0.8500000000000001,67.2926447574335
0.9,67.2926447574335
0.9500000000000001,67.2926447574335
