threshold,fmeasure
0.0,0
0.05,0
0.1,2.2727272727272725
0.15000000000000002,2.312138728323699
0.2,3.2388663967611335
0.25,3.986710963455149
0.30000000000000004,6.179775280898874
0.35000000000000003,7.253886010362693
0.4,8.374384236453203
0.45,8.47058823529412
0.5,8.21917808219178
0.55,8.539325842696629
0.6000000000000001,8.86917960088692
0.65,10.10989010989011
0.7000000000000001,10.940919037199125
0.75,10.893246187363834
0.8,10.893246187363834
0.8500000000000001,10.893246187363834
0.9,10.893246187363834
0.9500000000000001,10.893246187363834
1.0,10.893246187363834
