threshold,fmeasure
0.0,0
0.05,59.44272445820434
0.1,63.88059701492537
0.15000000000000002,64.72303206997084
0.2,65.73033707865169
0.25,69.16890080428954
0.30000000000000004,68.36734693877551
0.35000000000000003,70.02398081534773
0.4,68.79271070615034
0.45,70.43478260869564
0.5,70.10752688172043
0.55,69.60167714884696
0.6000000000000001,68.4931506849315
0.65,70.13487475915223
0.7000000000000001,70.22900763358778
0.75,68.90130353817504
0.8,68.85245901639344
0.8500000000000001,68.96551724137932
0.9,69.67509025270759
0.9500000000000001,69.67509025270759
1.0,69.67509025270759
