threshold,fmeasure
0.0,0
0.05,1.3333333333333333
0.1,1.2345679012345678
0.15000000000000002,2.3529411764705883
0.2,3.278688524590164
0.25,4.0
0.30000000000000004,6.392694063926941
0.35000000000000003,8.19672131147541
0.4,9.774436090225564
0.45,11.149825783972126
0.5,11.643835616438356
0.55,11.842105263157894
0.6000000000000001,13.01775147928994
0.65,12.716763005780349
0.7000000000000001,13.105413105413106
0.75,13.736263736263735
0.8,14.361702127659571
0.8500000000000001,14.814814814814815
0.9,14.69816272965879
0.9500000000000001,14.69816272965879
1.0,14.69816272965879
