threshold,fmeasure
0.0,0
0.05,9.63855421686747
0.1,17.525773195876287
0.15000000000000002,26.523297491039425
0.2,32.861189801699716
0.25,38.32923832923833
0.30000000000000004,45.454545454545446
0.35000000000000003,46.74796747967479
0.4,47.26562500000001
0.45,48.58757062146891
0.5,49.63235294117647
0.55,49.727767695099814
0.6000000000000001,50.628366247755835
0.65,50.26737967914439
0.7000000000000001,50.08880994671403
0.75,49.91150442477876
0.8,49.91150442477876
0.8500000000000001,49.91150442477876
0.9,49.91150442477876
0.9500000000000001,49.91150442477876
1.0,49.91150442477876
